# cycles  fidelity      MSE           ||MSE gradient||    
293       0.83432865    0.00706821    0.01019705          
294       0.83352767    0.00702438    0.01009562          
295       0.83413678    0.00688808    0.00985558          
296       0.83602941    0.00676705    0.00973078          
297       0.83506168    0.00669558    0.00978243          
298       0.83443030    0.00670992    0.00968776          
299       0.83616438    0.00653951    0.00930838          
300       0.83635654    0.00642866    0.00925496          
301       0.83634298    0.00638002    0.00921527          
302       0.83541174    0.00632837    0.00898840          
303       0.83628121    0.00626531    0.00886716          
304       0.83703899    0.00618736    0.00885183          
305       0.83612535    0.00610072    0.00856890          
306       0.83702959    0.00601286    0.00844567          
307       0.83685269    0.00604965    0.00869800          
308       0.83781958    0.00591010    0.00844969          
309       0.83704544    0.00588093    0.00840809          
310       0.83747826    0.00579646    0.00834510          
311       0.83730664    0.00576545    0.00828635          
312       0.83879737    0.00568005    0.00801791          
313       0.83811562    0.00565221    0.00789231          
314       0.83814034    0.00557846    0.00797563          
315       0.83957030    0.00551387    0.00772473          
316       0.83933208    0.00547217    0.00801978          
317       0.83776957    0.00549381    0.00790085          
318       0.83896217    0.00539229    0.00761707          
319       0.83983294    0.00534838    0.00750397          
320       0.83952762    0.00530629    0.00757551          
321       0.84047780    0.00523946    0.00735730          
322       0.84041674    0.00519423    0.00718944          
323       0.84022761    0.00516826    0.00721793          
324       0.83987303    0.00516401    0.00724562          
325       0.84040514    0.00510612    0.00728013          
326       0.84057078    0.00506569    0.00706664          
327       0.84053331    0.00501711    0.00696489          
328       0.84147956    0.00495872    0.00680143          
329       0.84169518    0.00491304    0.00687384          
330       0.84039664    0.00493205    0.00691921          
331       0.84171958    0.00486509    0.00671954          
332       0.84187693    0.00480856    0.00663397          
333       0.84174274    0.00478706    0.00647391          
334       0.84279810    0.00471890    0.00662368          
335       0.84239350    0.00471205    0.00656224          
336       0.84241914    0.00468511    0.00643371          
337       0.84189302    0.00467163    0.00630573          
338       0.84220756    0.00463302    0.00663209          
339       0.84273331    0.00459712    0.00636464          
340       0.84235507    0.00455511    0.00617996          
341       0.84261899    0.00454396    0.00612764          
342       0.84295569    0.00451195    0.00616002          
343       0.84296664    0.00446437    0.00611220          
344       0.84307862    0.00444575    0.00605955          
345       0.84363469    0.00440756    0.00589447          
346       0.84306217    0.00439661    0.00596902          
347       0.84463189    0.00429762    0.00571592          
348       0.84386063    0.00433018    0.00571215          
349       0.84468970    0.00430003    0.00571209          
350       0.84385536    0.00427113    0.00565344          
351       0.84489759    0.00424065    0.00562871          
352       0.84388405    0.00422678    0.00570244          
353       0.84456322    0.00419753    0.00551370          
354       0.84489806    0.00416992    0.00559791          
355       0.84503688    0.00411453    0.00544905          
356       0.84546428    0.00408522    0.00532216          
357       0.84496916    0.00409480    0.00554134          
358       0.84532799    0.00405766    0.00528738          
359       0.84544655    0.00403284    0.00532546          
360       0.84575566    0.00400355    0.00534699          
361       0.84583090    0.00396252    0.00526676          
362       0.84560428    0.00397502    0.00519690          
363       0.84602146    0.00393078    0.00520106          
364       0.84555842    0.00394093    0.00525295          
365       0.84570676    0.00391170    0.00521853          
366       0.84618342    0.00388134    0.00504336          
367       0.84740009    0.00385122    0.00495335          
368       0.84699684    0.00380685    0.00495939          
369       0.84685585    0.00382098    0.00508913          
370       0.84721096    0.00378494    0.00509985          
371       0.84678045    0.00378346    0.00506639          
372       0.84773559    0.00374931    0.00489463          
373       0.84737640    0.00371428    0.00493998          
374       0.84622105    0.00374378    0.00503377          
375       0.84718522    0.00367374    0.00497855          
376       0.84727558    0.00365517    0.00469650          
377       0.84818216    0.00364884    0.00469678          
378       0.84703774    0.00365670    0.00480485          
379       0.84704020    0.00363793    0.00496705          
380       0.84801034    0.00358896    0.00474887          
381       0.84777525    0.00357841    0.00458141          
382       0.84837508    0.00355489    0.00463379          
383       0.84762999    0.00354532    0.00457624          
384       0.84870391    0.00353662    0.00459058          
385       0.84870540    0.00349273    0.00454301          
386       0.84722153    0.00351374    0.00465353          
387       0.84876941    0.00347912    0.00457128          
388       0.84895873    0.00344163    0.00433649          
389       0.84915634    0.00344517    0.00428884          
390       0.84838699    0.00343546    0.00434384          
391       0.84900711    0.00340806    0.00432331          
392       0.84891138    0.00339508    0.00429545          
