# cycles  fidelity      MSE           ||MSE gradient||    
260       0.97500251    0.00124157    0.00328495          
261       0.97476314    0.00123404    0.00323591          
262       0.97503726    0.00121768    0.00335430          
263       0.97478739    0.00120982    0.00295926          
264       0.97481334    0.00120874    0.00295308          
265       0.97585965    0.00115137    0.00349357          
266       0.97648400    0.00112529    0.00330090          
267       0.97576955    0.00114233    0.00276499          
268       0.97736767    0.00108568    0.00292494          
269       0.97670809    0.00109916    0.00283626          
270       0.97592382    0.00110512    0.00289427          
271       0.97667286    0.00107251    0.00287949          
272       0.97704038    0.00104678    0.00271704          
273       0.97698269    0.00105113    0.00277653          
274       0.97678983    0.00104168    0.00289101          
275       0.97477957    0.00109023    0.00271869          
276       0.97649924    0.00102641    0.00262487          
277       0.97702549    0.00101162    0.00265084          
278       0.97658469    0.00101225    0.00255225          
279       0.97715456    0.00098614    0.00258695          
280       0.97699473    0.00098661    0.00251920          
281       0.97768331    0.00095661    0.00262920          
282       0.97658741    0.00097101    0.00268148          
283       0.97746739    0.00093886    0.00240571          
284       0.97718223    0.00095096    0.00281278          
285       0.97783757    0.00092817    0.00243244          
286       0.97883897    0.00088123    0.00272267          
287       0.97833979    0.00088834    0.00240143          
288       0.97778092    0.00089665    0.00262383          
289       0.97774319    0.00089295    0.00230593          
290       0.97755553    0.00089878    0.00252320          
291       0.97725206    0.00088450    0.00226501          
292       0.97782752    0.00085784    0.00234959          
293       0.97990825    0.00080004    0.00210083          
294       0.97782891    0.00085917    0.00222997          
295       0.97726904    0.00085984    0.00229201          
296       0.97788560    0.00084021    0.00219844          
297       0.97793918    0.00083357    0.00227805          
298       0.97652225    0.00087204    0.00239260          
299       0.97738783    0.00084068    0.00220240          
300       0.97843800    0.00080358    0.00212080          
301       0.97782492    0.00081127    0.00214646          
302       0.97873377    0.00079722    0.00210385          
303       0.97760192    0.00081514    0.00220499          
304       0.97900920    0.00076290    0.00218305          
305       0.97954007    0.00074019    0.00194849          
306       0.97922402    0.00074546    0.00207761          
307       0.97972146    0.00073903    0.00204682          
308       0.98069010    0.00070354    0.00185560          
309       0.97943662    0.00072668    0.00194383          
310       0.97995719    0.00070976    0.00216819          
311       0.97917790    0.00072958    0.00198839          
312       0.97916545    0.00072973    0.00222997          
313       0.97886962    0.00072818    0.00204398          
314       0.97919881    0.00071206    0.00220408          
315       0.97990528    0.00069425    0.00187850          
316       0.97941728    0.00070176    0.00200682          
317       0.97961583    0.00068793    0.00181718          
318       0.97981561    0.00067106    0.00178589          
319       0.97870969    0.00069474    0.00196514          
320       0.97936133    0.00068521    0.00193312          
321       0.98000529    0.00065899    0.00177896          
322       0.97888187    0.00068884    0.00200927          
323       0.98020485    0.00065064    0.00204923          
324       0.98028942    0.00064270    0.00204178          
325       0.97989318    0.00065391    0.00204968          
326       0.97992704    0.00064666    0.00192342          
327       0.98025265    0.00063533    0.00170985          
328       0.97899523    0.00066504    0.00184463          
329       0.97944439    0.00063792    0.00199758          
330       0.98035827    0.00061750    0.00174165          
331       0.97863685    0.00064869    0.00173215          
332       0.98015739    0.00061341    0.00165661          
333       0.97974133    0.00061648    0.00162805          
334       0.98016242    0.00060973    0.00166548          
335       0.98061384    0.00059693    0.00177129          
336       0.98092465    0.00058485    0.00181631          
337       0.98071397    0.00057564    0.00163887          
338       0.98080311    0.00058146    0.00163551          
339       0.97998911    0.00059826    0.00165699          
340       0.97983789    0.00060103    0.00169151          
341       0.98129110    0.00055995    0.00214014          
342       0.98195192    0.00054300    0.00160158          
343       0.98188453    0.00053938    0.00161258          
344       0.98169479    0.00054248    0.00192581          
345       0.98078550    0.00056698    0.00170966          
346       0.98130762    0.00053843    0.00233846          
347       0.98084188    0.00055344    0.00209208          
348       0.98127605    0.00054820    0.00188410          
349       0.98177023    0.00053296    0.00188260          
350       0.98267325    0.00050052    0.00158111          
351       0.98116394    0.00053917    0.00177465          
352       0.98022845    0.00054540    0.00222203          
353       0.98261938    0.00050044    0.00150839          
354       0.98114677    0.00052600    0.00227049          
355       0.98000454    0.00054054    0.00209648          
356       0.98162811    0.00050896    0.00201625          
357       0.98154666    0.00051349    0.00236699          
358       0.98288721    0.00047579    0.00139361          
359       0.98153647    0.00050297    0.00168613          
360       0.98123650    0.00051134    0.00175653          
361       0.98224958    0.00048635    0.00136186          
362       0.98109113    0.00050950    0.00208534          
363       0.98196516    0.00048430    0.00165380          
364       0.98210935    0.00048572    0.00138501          
365       0.98172268    0.00048277    0.00181224          
366       0.98224387    0.00047047    0.00129480          
367       0.98106798    0.00049748    0.00164229          
368       0.98098998    0.00048884    0.00183093          
369       0.98234729    0.00046347    0.00128610          
370       0.98176455    0.00047834    0.00166175          
371       0.98247450    0.00045813    0.00138897          
372       0.98318655    0.00044833    0.00141260          
373       0.98218228    0.00046078    0.00155893          
374       0.98217030    0.00046568    0.00142092          
375       0.98255296    0.00044762    0.00132064          
376       0.98273306    0.00044429    0.00129688          
377       0.98236252    0.00044891    0.00124533          
378       0.98296388    0.00043781    0.00123912          
379       0.98299402    0.00043284    0.00132686          
380       0.98311062    0.00043400    0.00146478          
381       0.98239941    0.00043611    0.00123095          
382       0.98190648    0.00044293    0.00149373          
383       0.98270389    0.00042738    0.00122652          
384       0.98383023    0.00040851    0.00117838          
385       0.98375762    0.00040780    0.00118784          
386       0.98394313    0.00040199    0.00114286          
387       0.98242209    0.00042794    0.00121320          
388       0.98191312    0.00043110    0.00123488          
389       0.98333676    0.00040730    0.00114179          
390       0.98356772    0.00040540    0.00117662          
391       0.98237363    0.00042158    0.00124507          
392       0.98285394    0.00040937    0.00118138          
393       0.98339605    0.00039634    0.00118412          
394       0.98213021    0.00041598    0.00120160          
395       0.98379884    0.00039067    0.00135961          
396       0.98303614    0.00039661    0.00130038          
397       0.98337300    0.00039271    0.00110643          
398       0.98363444    0.00038483    0.00113972          
399       0.98275941    0.00040273    0.00119137          
400       0.98269868    0.00039792    0.00113540          
401       0.98243256    0.00040044    0.00150719          
402       0.98327250    0.00038386    0.00121564          
403       0.98404455    0.00037314    0.00107263          
404       0.98322799    0.00038861    0.00141604          
405       0.98327203    0.00038492    0.00110462          
406       0.98417065    0.00036487    0.00164614          
407       0.98359000    0.00036865    0.00144247          
408       0.98279881    0.00038702    0.00126043          
409       0.98310666    0.00037907    0.00151740          
410       0.98266565    0.00038591    0.00112382          
411       0.98425348    0.00035209    0.00182892          
412       0.98391063    0.00036350    0.00112913          
413       0.98239579    0.00038442    0.00138835          
414       0.98365135    0.00036060    0.00115358          
415       0.98301926    0.00037364    0.00112819          
416       0.98435619    0.00034715    0.00168555          
