# cycles  fidelity      MSE           ||MSE gradient||    
376       0.50339299    0.07329376    0.02615145          
377       0.50323532    0.07423270    0.02369230          
378       0.50721468    0.07386700    0.02191462          
379       0.50374471    0.07377319    0.02420272          
380       0.50028220    0.07429478    0.02515899          
381       0.50684358    0.07303749    0.02342172          
382       0.50610534    0.07383474    0.02154013          
383       0.50477674    0.07451208    0.02214829          
384       0.50708636    0.07256298    0.02297148          
385       0.50508654    0.07413013    0.02133573          
386       0.50731015    0.07341990    0.02147198          
387       0.50481930    0.07305674    0.02277764          
388       0.50515903    0.07360966    0.02341546          
389       0.50364269    0.07369257    0.02154434          
390       0.50605686    0.07361253    0.02072034          
391       0.50682130    0.07451884    0.01950707          
392       0.50740416    0.07311088    0.01972394          
393       0.50334690    0.07392649    0.02135521          
394       0.50355976    0.07339755    0.02127588          
395       0.50631574    0.07320311    0.02077967          
396       0.50383452    0.07331685    0.02256515          
397       0.50791738    0.07388893    0.01734725          
398       0.50415722    0.07307278    0.02198182          
399       0.50873134    0.07291364    0.02017782          
400       0.50345975    0.07352383    0.01984585          
401       0.50309365    0.07397350    0.01990222          
402       0.50376251    0.07389802    0.01880100          
403       0.50602186    0.07335386    0.01835596          
404       0.50742308    0.07451923    0.01503296          
405       0.50356663    0.07333337    0.01911142          
406       0.50466106    0.07331539    0.01830026          
407       0.51065152    0.07415678    0.01401882          
408       0.50667336    0.07455448    0.01534961          
409       0.51002948    0.07378535    0.01498968          
410       0.50638561    0.07421829    0.01551644          
411       0.50643162    0.07364352    0.01630161          
412       0.50336281    0.07277557    0.01953114          
413       0.50703527    0.07334821    0.01586121          
414       0.50517862    0.07327692    0.01725858          
415       0.50348353    0.07239463    0.01911890          
416       0.50743255    0.07343796    0.01534012          
417       0.51002362    0.07243651    0.01497214          
418       0.50215492    0.07298490    0.01779566          
419       0.50575703    0.07369983    0.01494261          
420       0.50205766    0.07301591    0.01754956          
421       0.50782487    0.07294729    0.01445609          
422       0.50513672    0.07388412    0.01477901          
423       0.50272328    0.07316815    0.01649801          
424       0.50836134    0.07271552    0.01456011          
425       0.50313791    0.07351103    0.01582538          
426       0.50885045    0.07300399    0.01460183          
427       0.50273165    0.07276815    0.01643078          
428       0.50542764    0.07418097    0.01263766          
429       0.50590744    0.07451305    0.01460297          
430       0.50675094    0.07445060    0.01309428          
431       0.50156062    0.07356686    0.01675789          
432       0.50610687    0.07347183    0.01303325          
433       0.50507859    0.07228610    0.01556749          
434       0.50315130    0.07373933    0.01343620          
435       0.50719732    0.07304096    0.01354578          
436       0.50606156    0.07274905    0.01391986          
437       0.50948040    0.07272095    0.01225045          
438       0.50284284    0.07310851    0.01598439          
439       0.50883156    0.07361900    0.01027453          
440       0.50348044    0.07339538    0.01378912          
441       0.50579775    0.07457679    0.01127245          
442       0.50576360    0.07346487    0.01260838          
443       0.50671127    0.07243295    0.01285312          
444       0.50494154    0.07233050    0.01392212          
445       0.50853201    0.07367685    0.01058248          
446       0.50447799    0.07365505    0.01207166          
447       0.50463947    0.07287653    0.01604214          
448       0.50751082    0.07213883    0.01288495          
449       0.50617826    0.07371367    0.01075172          
450       0.50514169    0.07283159    0.01276633          
451       0.50688940    0.07288162    0.01479521          
452       0.50538138    0.07235989    0.01418996          
453       0.50648316    0.07294870    0.01141123          
454       0.50491374    0.07307943    0.01164170          
455       0.50659948    0.07361167    0.01020136          
456       0.50626874    0.07397616    0.00955891          
457       0.50437625    0.07298835    0.01231998          
458       0.50592604    0.07319711    0.01011842          
459       0.50575112    0.07328705    0.01042241          
460       0.50334611    0.07446044    0.00949153          
461       0.50795581    0.07382155    0.00966714          
462       0.50745927    0.07297679    0.00987723          
463       0.50421091    0.07268520    0.01230294          
464       0.50264417    0.07378419    0.01073311          
465       0.50825759    0.07287284    0.00897091          
466       0.50599549    0.07309094    0.01042926          
467       0.50593390    0.07263514    0.01126358          
468       0.51096971    0.07306277    0.00736844          
469       0.50345386    0.07267552    0.01168772          
470       0.50851476    0.07256993    0.01028408          
471       0.50306508    0.07257739    0.01130860          
472       0.50451195    0.07147958    0.01262728          
473       0.50639664    0.07341150    0.00927690          
474       0.50157154    0.07279419    0.01280124          
475       0.50517718    0.07335493    0.00911667          
476       0.50554503    0.07332492    0.00910028          
477       0.51083764    0.07355515    0.00612876          
478       0.50679019    0.07178310    0.01062530          
479       0.50472617    0.07270982    0.01026381          
480       0.50487446    0.07267640    0.00930608          
481       0.50607321    0.07387272    0.00706970          
482       0.50687160    0.07309003    0.00790404          
483       0.50835542    0.07414429    0.00796043          
484       0.50503742    0.07264085    0.01107377          
485       0.50751919    0.07278097    0.00890231          
486       0.50493922    0.07410512    0.00764890          
487       0.50539655    0.07367870    0.00940027          
488       0.50522723    0.07224826    0.01162011          
489       0.50463521    0.07366024    0.00824068          
490       0.50504939    0.07226183    0.01090652          
491       0.50661663    0.07322565    0.01044134          
492       0.50636802    0.07207252    0.00981253          
493       0.50677093    0.07296036    0.00942850          
494       0.50416740    0.07456834    0.00627343          
495       0.50655778    0.07344926    0.00718428          
496       0.50793486    0.07299134    0.00664474          
497       0.50931268    0.07260825    0.00744643          
498       0.50784910    0.07316791    0.00616402          
499       0.50362507    0.07356225    0.01037821          
500       0.50509141    0.07386754    0.00858463          
501       0.50613313    0.07305414    0.00716009          
502       0.50938150    0.07269474    0.00681177          
503       0.50378157    0.07232017    0.00931075          
504       0.50450686    0.07249869    0.00850313          
505       0.51031688    0.07469656    0.00532095          
506       0.50514667    0.07341652    0.00683928          
507       0.50712089    0.07322477    0.00582526          
508       0.50824778    0.07270969    0.00706398          
509       0.50502516    0.07352173    0.00773859          
510       0.50835571    0.07300367    0.00611016          
511       0.50759112    0.07281200    0.00795519          
512       0.50835027    0.07348761    0.00563407          
513       0.50710077    0.07334837    0.00641890          
514       0.50490512    0.07311602    0.01093311          
515       0.50501686    0.07268667    0.00768971          
516       0.50919724    0.07411600    0.00554229          
517       0.50605530    0.07285540    0.00658641          
518       0.50802113    0.07283432    0.00848182          
519       0.50569524    0.07328767    0.00733940          
520       0.50375592    0.07264496    0.00784643          
