# cycles  fidelity            EL avg              EL var              ||EL gradient||     ratio accepted samples
191       0.71706             0.00000             0.00000             0.00000             1.0                 
192       0.65081             0.00000             0.00000             0.00000             1.0                 
193       0.72053             0.00000             0.00000             0.00000             1.0                 
194       0.77369             0.00000             0.00000             0.00000             1.0                 
195       0.67428             0.00000             0.00000             0.00000             1.0                 
196       0.63553             0.00000             0.00000             0.00000             1.0                 
197       0.59291             0.00000             0.00000             0.00000             1.0                 
198       0.63529             0.00000             0.00000             0.00000             0.999875            
199       0.84782             0.00000             0.00000             0.00000             1.0                 
200       0.69480             0.00000             0.00000             0.00000             1.0                 
201       0.72566             0.00000             0.00000             0.00000             1.0                 
202       0.76504             0.00000             0.00000             0.00000             1.0                 
203       0.63326             0.00000             0.00000             0.00000             1.0                 
204       0.75746             0.00000             0.00000             0.00000             1.0                 
205       0.56238             0.00000             0.00000             0.00000             1.0                 
206       0.74489             0.00000             0.00000             0.00000             1.0                 
207       0.69639             0.00000             0.00000             0.00000             1.0                 
208       0.70090             0.00000             0.00000             0.00000             1.0                 
209       0.75779             0.00000             0.00000             0.00000             1.0                 
210       0.70480             0.00000             0.00000             0.00000             0.999875            
211       0.72142             0.00000             0.00000             0.00000             1.0                 
212       0.62178             0.00000             0.00000             0.00000             0.999875            
213       0.66931             0.00000             0.00000             0.00000             1.0                 
214       0.70224             0.00000             0.00000             0.00000             1.0                 
215       0.79059             0.00000             0.00000             0.00000             1.0                 
216       0.74767             0.00000             0.00000             0.00000             1.0                 
217       0.67681             0.00000             0.00000             0.00000             1.0                 
218       0.61438             0.00000             0.00000             0.00000             1.0                 
219       0.61568             0.00000             0.00000             0.00000             1.0                 
220       0.61547             0.00000             0.00000             0.00000             1.0                 
221       0.65176             0.00000             0.00000             0.00000             1.0                 
222       0.66334             0.00000             0.00000             0.00000             1.0                 
223       0.68627             0.00000             0.00000             0.00000             1.0                 
224       0.59079             0.00000             0.00000             0.00000             1.0                 
225       0.84381             0.00000             0.00000             0.00000             1.0                 
226       0.73767             0.00000             0.00000             0.00000             1.0                 
227       0.68949             0.00000             0.00000             0.00000             1.0                 
228       0.63338             0.00000             0.00000             0.00000             1.0                 
229       0.71473             0.00000             0.00000             0.00000             1.0                 
230       0.51716             0.00000             0.00000             0.00000             1.0                 
231       0.67795             0.00000             0.00000             0.00000             1.0                 
232       0.76977             0.00000             0.00000             0.00000             1.0                 
233       0.72290             0.00000             0.00000             0.00000             1.0                 
234       0.79474             0.00000             0.00000             0.00000             1.0                 
235       0.80542             0.00000             0.00000             0.00000             1.0                 
236       0.67177             0.00000             0.00000             0.00000             1.0                 
237       0.60219             0.00000             0.00000             0.00000             1.0                 
238       0.68022             0.00000             0.00000             0.00000             1.0                 
239       0.61863             0.00000             0.00000             0.00000             0.999875            
240       0.62390             0.00000             0.00000             0.00000             1.0                 
241       0.80960             0.00000             0.00000             0.00000             1.0                 
242       0.71539             0.00000             0.00000             0.00000             1.0                 
243       0.56480             0.00000             0.00000             0.00000             1.0                 
244       0.71064             0.00000             0.00000             0.00000             1.0                 
245       0.75865             0.00000             0.00000             0.00000             1.0                 
246       0.70308             0.00000             0.00000             0.00000             1.0                 
247       0.65849             0.00000             0.00000             0.00000             1.0                 
248       0.61095             0.00000             0.00000             0.00000             1.0                 
249       0.49671             0.00000             0.00000             0.00000             0.999875            
250       0.70136             0.00000             0.00000             0.00000             1.0                 
251       0.62082             0.00000             0.00000             0.00000             1.0                 
